"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"Hold On (Wilson Philips)","Alex Dickson",,"04:22","100.0","F","soundcloud:tracks:229957939","2025-10-22T06:12:23Z","3"
"What Is Love","DJ 90's Party Mix",,"04:27","124.0","F","soundcloud:tracks:1001344027","2025-10-22T06:15:20Z","4"
"Short Short Man","DJ 90's Party Mix",,"03:20","125.8","G","soundcloud:tracks:1001781769","2025-10-22T06:16:49Z","1"
"Jump Around","DJ 90's Party Mix",,"03:04","128.0","G","soundcloud:tracks:1001198626","2025-10-22T06:19:06Z","2"
"Gettin' Jiggy Wit It (Workout Mix)","Remix Workout Factory",,"04:41","122.0","A","soundcloud:tracks:1785883584","2025-10-22T06:21:01Z","3"
"Bad Boy for Life","Diddy",,"04:13","90.0","A","soundcloud:tracks:255987897","2025-10-22T06:23:32Z","4"
"Bitch Please (feat. Xzibit)","Snoop Dogg",,"03:54","95.0","D","soundcloud:tracks:255871319","2025-10-22T06:26:07Z","3"
"Bootylicious","Destiny's Child",,"03:27","103.4","Gb","soundcloud:tracks:253511133","2025-10-22T06:28:18Z","4"
"California Love (Original Version) [feat. Roger Troutman & Dr. Dre]","2Pac",,"04:44","91.5","Bb","soundcloud:tracks:252531665","2025-10-22T06:29:19Z","1"
"A1. The Funk District - Congalizer [Samosa Records] ***OUT NOW 12""***","The Funk District",,"03:14","125.0","G","soundcloud:tracks:923006533","2025-10-22T06:30:56Z","2"
"Bite The Dust [LNTG Edit]","Late Nite Tuff Guy",,"07:42","110.0","G","soundcloud:tracks:115246531","2025-10-22T06:33:18Z","3"
"Hollaback Girl","Gwen Stefani",,"03:19","110.0","Gb","soundcloud:tracks:251380719","2025-10-22T06:35:10Z","4"
"Beatfanatic: Hard tymes","Beatfanatic aka Beatconductor",,"05:48","91.0","C","soundcloud:tracks:1841279676","2025-10-22T06:47:52Z","4"
"Sing It Back (ft. Naila)","Ash",,"04:12","120.0","E","soundcloud:tracks:199138999","2025-10-22T06:54:51Z","3"
"Peggy Gou - (It Goes Like) Nanana (Alex Wann & Sasson Remix)","thëmala",,"06:02","122.1","B","soundcloud:tracks:1577558342","2025-10-22T07:00:01Z","4"
